datetime,nb_ip,avg_time_interval,nb_logon,nb_event_categories,nb_domain,nb_fail_logon,nb_programs
2009-07-15,0.0,0.0,242.0,2.0,1.0,1.0,4.0
2009-07-16,0.0,0.0,242.0,2.0,0.0,1.0,3.0
2009-07-17,1.0,0.0,242.0,2.0,0.0,0.0,5.0
2009-07-18,1.0,0.0,242.0,3.0,0.0,0.0,4.0
2009-07-19,1.0,0.0,242.0,4.0,0.0,0.0,4.0
2009-07-20,0.0,0.0,242.0,2.0,1.0,1.0,3.0
2009-07-21,1.0,0.0,243.0,3.0,0.0,1.0,5.0
2009-07-22,1.0,0.0,242.0,2.0,0.0,0.0,3.0
2009-07-23,1.0,0.0,242.0,3.0,1.0,0.0,6.0
2009-07-24,0.0,0.0,242.0,2.0,0.0,0.0,3.0
2009-07-25,0.0,0.0,242.0,2.0,0.0,0.0,3.0
2009-07-26,0.0,0.0,243.0,2.0,0.0,1.0,3.0
2009-07-27,0.0,0.0,243.0,2.0,0.0,1.0,4.0
2009-07-28,1.0,0.0,242.0,3.0,0.0,3.0,3.0
2009-07-29,1.0,0.0,242.0,3.0,1.0,1.0,5.0
2009-07-30,1.0,0.0,242.0,2.0,0.0,2.0,3.0
2009-07-31,1.0,0.0,242.0,3.0,1.0,2.0,4.0
2009-08-01,0.0,0.0,242.0,2.0,0.0,1.0,4.0
2009-08-02,0.0,0.0,241.0,2.0,0.0,0.0,2.0
2009-08-03,0.0,0.0,242.0,2.0,0.0,0.0,3.0
2009-08-04,0.0,0.0,242.0,2.0,0.0,0.0,3.0
2009-08-05,0.0,0.0,242.0,2.0,0.0,0.0,3.0
2009-08-06,0.0,0.0,241.0,2.0,0.0,0.0,3.0
2009-08-07,0.0,0.0,241.0,2.0,0.0,0.0,3.0
2009-08-08,0.0,0.0,242.0,2.0,0.0,0.0,3.0
2009-08-09,1.0,0.0,242.0,3.0,1.0,2.0,4.0
2009-08-10,1.0,0.0,241.0,3.0,0.0,3.0,4.0
2009-08-11,1.0,0.0,242.0,3.0,1.0,1.0,5.0
2009-08-12,1.0,0.0,242.0,3.0,1.0,0.0,3.0
2009-08-13,1.0,0.0,241.0,3.0,1.0,3.0,3.0
2009-08-14,1.0,0.0,241.0,2.0,0.0,1.0,3.0
2009-08-15,1.0,0.0,241.0,5.0,2.0,1.0,6.0
2009-08-16,1.0,0.0,241.0,4.0,1.0,1.0,4.0
2009-08-17,1.0,0.0,241.0,2.0,0.0,1.0,4.0
2009-08-18,1.0,0.0,241.0,3.0,2.0,1.0,4.0
